[2026-05-15 17:04:33] conflict=Dude, Wheres My Fox (Kyell Gold) (Z-Library).epub | source= | existing=D:\下载\DL book\已经归档\Dude, Wheres My Fox (Kyell Gold) (Z-Library).epub
[2026-05-15 17:04:33] conflict=Begin to Code Building apps and games in the cloud (Rob Miles) (Z-Library).pdf | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\Begin to Code Building apps and games in the cloud (Rob Miles) (Z-Library).pdf
[2026-05-15 17:04:33] conflict=FL Studio Beginners Guide How to Start Making Music in FL Studio - the Ultimate Shortcut (Screech House) (Z-Library).epub | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\FL Studio Beginners Guide How to Start Making Music in FL Studio - the Ultimate Shortcut (Screech House) (Z-Library).epub
[2026-05-15 17:04:33] conflict=Fundamentals of Game Design, Third Edition (Ernest Adams) (Z-Library).epub | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\Fundamentals of Game Design, Third Edition (Ernest Adams) (Z-Library).epub
[2026-05-15 17:04:33] conflict=Game programming algorithms and techniques  a platform-agnostic approach (Sanjay Madhav) (Z-Library).pdf | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\Game programming algorithms and techniques  a platform-agnostic approach (Sanjay Madhav) (Z-Library).pdf
[2026-05-15 17:04:33] conflict=Games, Design and Play A Detailed Approach to Iterative Game Design (John Sharp  Colleen Macklin) (Z-Library).epub | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\Games, Design and Play A Detailed Approach to Iterative Game Design (John Sharp  Colleen Macklin) (Z-Library).epub
[2026-05-15 17:04:33] conflict=Introduction to Game Design, Prototyping, and Development From Concept to Playable Game with Unity and C (Gibson J.) (Z-Library).pdf | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\Introduction to Game Design, Prototyping, and Development From Concept to Playable Game with Unity and C (Gibson J.) (Z-Library).pdf
[2026-05-15 17:04:33] conflict=Introduction to Game Systems Design (Dax Gazaway) (Z-Library).epub | source= | existing=F:\Coding_Dev\BOOKS\Simple-Book-library\book_test_using\Introduction to Game Systems Design (Dax Gazaway) (Z-Library).epub
[2026-05-15 17:04:33] conflict=Action Anatomy For Gamers, Animators and Digital Artists (Takashi Lijima) (z-library.sk, 1lib.sk, z-lib.sk).pdf | source= | existing=D:\下载\DL book\已经归档\Action Anatomy For Gamers, Animators and Digital Artists (Takashi Lijima) (z-library.sk, 1lib.sk, z-lib.sk).pdf
[2026-05-15 17:04:33] conflict=An Atlas of Animal Anatomy for Artists (W. Ellenberger, H. BAUM, H. DITTRICH etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf | source= | existing=D:\下载\DL book\已经归档\An Atlas of Animal Anatomy for Artists (W. Ellenberger, H. BAUM, H. DITTRICH etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf
[2026-05-15 17:04:33] conflict=Animal Anatomy for Artists - The Elements of Form. (Eliot Goldfinger) (z-library.sk, 1lib.sk, z-lib.sk).pdf | source= | existing=D:\下载\DL book\已经归档\Animal Anatomy for Artists - The Elements of Form. (Eliot Goldfinger) (z-library.sk, 1lib.sk, z-lib.sk).pdf
