[2026-05-18 11:49:35] missing_removed | type=pdf | title=Action Anatomy For Gamers, Animators and Digital Artists (Takashi Lijima) (z-library.sk, 1lib.sk, z-lib.sk) | path=D:\下载\DL book\已经归档\Action Anatomy For Gamers, Animators and Digital Artists (Takashi Lijima) (z-library.sk, 1lib.sk, z-lib.sk).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=An Atlas of Animal Anatomy for Artists (W. Ellenberger, H. BAUM, H. DITTRICH etc.) (z-library.sk, 1lib.sk, z-lib.sk) | path=D:\下载\DL book\已经归档\An Atlas of Animal Anatomy for Artists (W. Ellenberger, H. BAUM, H. DITTRICH etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=Animal Anatomy for Artists: The Elements of Form | path=D:\下载\DL book\已经归档\Animal Anatomy for Artists - The Elements of Form. (Eliot Goldfinger) (z-library.sk, 1lib.sk, z-lib.sk).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=Cats How to Draw Them (Melvyn Petterson) (Z-Library) | path=D:\下载\DL book\已经归档\Cats How to Draw Them (Melvyn Petterson) (Z-Library).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=Drawing Furries | path=D:\下载\DL book\已经归档\Drawing Furries Learn How to Draw Creative Characters, Anthropomorphic Animals, Fantasy Fursonas, and More (How to Draw Books) (Stephanie Ifus Johnson) (Z-Library).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=epub | title=Dude, Where's My Fox? | path=D:\下载\DL book\已经归档\Dude, Wheres My Fox (Kyell Gold) (Z-Library).epub | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=Kawaii Doggies | path=D:\下载\DL book\已经归档\Kawaii Doggies (Olive Yong) (Z-Library).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=Michel Lauricella - Morpho Clothing Folds and Creases | path=D:\下载\DL book\已经归档\Morpho Clothing Folds and Creases (Michel Lauricella) (Z-Library).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=mignonがしっかり教える「肌塗り」の秘訣 おなかに見惚れる作画流儀 (mignon) (z-library.sk, 1lib.sk, z-lib.sk) | path=D:\下载\DL book\已经归档\mignonがしっかり教える「肌塗り」の秘訣 おなかに見惚れる作画流儀 (mignon) (z-library.sk, 1lib.sk, z-lib.sk).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=Morpho Hands and Feet (Anatomy for Artists) (Michel Lauricella) (z-library.sk, 1lib.sk, z-lib.sk) | path=D:\下载\DL book\已经归档\Morpho Hands and Feet (Anatomy for Artists) (Michel Lauricella) (z-library.sk, 1lib.sk, z-lib.sk).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=ROUGH ARCHIVE ２０１１ - ２０１４ (田中 久仁彦) (Z-Library) | path=D:\下载\DL book\已经归档\ROUGH ARCHIVE ２０１１ - ２０１４ (田中 久仁彦) (Z-Library).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=ROUGH ARCHIVE ２０１５ - ２０１８ (田中 久仁彦) (Z-Library) | path=D:\下载\DL book\已经归档\ROUGH ARCHIVE ２０１５ - ２０１８ (田中 久仁彦) (Z-Library).pdf | reason=source file missing during scan
[2026-05-18 11:49:35] missing_removed | type=pdf | title=The Artist's Guide to Drawing Animals | path=D:\下载\DL book\已经归档\The Artists Guide to Drawing Animals How to Draw Cats, Dogs, and Other Favorite Pets (J.C. Amberlyn) (Z-Library).pdf | reason=source file missing during scan
